http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=39,"Hazardous Materials Information Review Commission","3917380 - Apog&eacute;e",1100959929,2009-03-31,"Communication Service","2009/03/31 to 2009/07/2009",,24999.00,-
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=40,"Hazardous Materials Information Review Commission","Soci&eacute;t&eacute; Arden Inc",1100964148,2009-04-01,"Translation Services","2009/04/01 to 2010/03/31",,24999.99,-
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=41,"Hazardous Materials Information Review Commission","Le Group-conseil Baastel lt&eacute;e",1100964149,2009-04-01,"Translation Services","2009/04/01 to 2010/03/31",,24999.99,-
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=42,"Hazardous Materials Information Review Commission","Champlain Language Centre",1100965567,2009-04-01,"Language Training","2009/04/01 to 2010/03/31",,63992.95,-
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=43,"Hazardous Materials Information Review Commission","Excel Human Resources",1100966532,2009-05-05,"Temporary Help Services","2009/05/05 to 2010/03/31",,42056.83,"Amendment to Original Contract"
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=44,"Hazardous Materials Information Review Commission",Maxsys,1100966553,2009-05-13,"Records Clean up","2009/05/25 to 2009/13/24",,18351.90,"Amendment to Original Contract"
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=45,"Hazardous Materials Information Review Commission","KSAR and Associates Inc",1100967386,2009-05-22,"Strategic Plan Evaluation","2009/05/22 to 2009/07/31",,24999.99,"Amendment to Original Contract"
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=46,"Hazardous Materials Information Review Commission","Excel Human Resources",1100969248,2009-04-01,"Temporary Help Services","2009/04/01 to 2009/03/31",,53351.86,"Amendment to Original Contract"
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=47,"Hazardous Materials Information Review Commission","Altis SPR",1100971602,2009-06-09,"Communication Advisor","2009/06/09 to 2010/03/31",,165375.00,"Amendment to Original Contract"
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=48,"Hazardous Materials Information Review Commission","Cistel Technology Inc",1100973220,2009-06-22,"Database Development Services","2009/06/22 to 2009/07/28",,56088.00,"Amendment to Original Contract"
