http://www.nrtee-trnee.ca/eng/about-us/proactive-disclosure/contracts/2010-2011-Contracts/2010-2011-1/2010-2011-ContractDetails-1-eng.cfm?ID=310,"National Round Table on the Environment and the Economy","Dr. David Anthoff",NRT-2010034,2010-04-26,"0491 - Management consulting","2010-04-26 to 2010-07-31",,23936.40,"To provide deterministic and probabilistic estimates of the costs of climate damages in Canada for various global emissions scenarios and Canadian socioeconomic scenarios using a range of discount rates and values for climate sensitivity using the FUND model."
http://www.nrtee-trnee.ca/eng/about-us/proactive-disclosure/contracts/2010-2011-Contracts/2010-2011-1/2010-2011-ContractDetails-1-eng.cfm?ID=309,"National Round Table on the Environment and the Economy","ArborVitae Environmental Services Ltd.",NRT-2010029,2010-04-12,"0491 - Management consulting","2010-04-12 to 2010-06-21",,24.990,"To prepare a report of a regionally-based assessment of the potential economic and welfare implications of a changing climate on non-timber values associated with Canada&#39;s forests."
http://www.nrtee-trnee.ca/eng/about-us/proactive-disclosure/contracts/2010-2011-Contracts/2010-2011-1/2010-2011-ContractDetails-1-eng.cfm?ID=307,"National Round Table on the Environment and the Economy","MOUK Design",NRT-2010005,2010-04-08,"0351 - Communications Professional Services not Elsewhere Specified","2010-04-08 to 2011-06-30",,41564.25,"To provide layout and design services for the Water Program Report as well as with other related collaterals."
http://www.nrtee-trnee.ca/eng/about-us/proactive-disclosure/contracts/2010-2011-Contracts/2010-2011-1/2010-2011-ContractDetails-1-eng.cfm?ID=308,"National Round Table on the Environment and the Economy","The Governors of the University of Calgary",NRT-2010006,2010-04-01,"0499 - Other professional services not otherwise specified","2010-04-01 to 2011-03-31",,23913.26,"To provide administrative support to Chair of the NRTEE at his University of Calgary Office."
http://www.nrtee-trnee.ca/eng/about-us/proactive-disclosure/contracts/2010-2011-Contracts/2010-2011-1/2010-2011-ContractDetails-1-eng.cfm?ID=306,"National Round Table on the Environment and the Economy","FreeBalance Inc.",CNRT-2010001,2010-04-01,"1228 - Computer Software","2010-04-01 to 2011-03-31",,14700.00,"Standing Offer Call-up: Licensed software for Financial System."
http://www.nrtee-trnee.ca/eng/about-us/proactive-disclosure/contracts/2009-2010-Contracts/2009-2010-4/2009-2010-ContractDetails-4-eng.cfm?ID=305,"National Round Table on the Environment and the Economy","Insight Software Canada Ltd.",CNRT-2009147,2010-03-24,"1228 - Computer Software",,2010-03-24,15164.10,"Standing Offer Call-up: Database software for communications project."
http://www.nrtee-trnee.ca/eng/about-us/proactive-disclosure/contracts/2009-2010-Contracts/2009-2010-4/2009-2010-ContractDetails-4-eng.cfm?ID=304,"National Round Table on the Environment and the Economy","Innovus Corporation",NRT-2009144,2010-03-08,"0351 - Communications Professional Services not Elsewhere Specified","2010-03-08 to 2010-06-30",,24999.99,"To provide consultation and technical services for a business requirement discovery project and the implementation of Microsoft Dynamics Customer Relationship Management software in order to manage NRTEE&#39;s databases."
http://www.nrtee-trnee.ca/eng/about-us/proactive-disclosure/contracts/2009-2010-Contracts/2009-2010-4/2009-2010-ContractDetails-4-eng.cfm?ID=301,"National Round Table on the Environment and the Economy","Innovative Research Group",NRT-2009138,2010-02-25,"0491 - Management consulting","2010-02-25 to 2010-03-31",,24990.00,"To produce a report on public attitudes towards climate change in Canada and abroad, and examine how and why these attitudes are changing."
http://www.nrtee-trnee.ca/eng/about-us/proactive-disclosure/contracts/2009-2010-Contracts/2009-2010-4/2009-2010-ContractDetails-4-eng.cfm?ID=302,"National Round Table on the Environment and the Economy","MASS LBP",NRT-2009139,2010-02-25,"0491 - Management consulting","2010-02-25 to 2010-03-31",,20900.00,"To assess and provide recommendations on effective mechanisms and processes to engage citizens about climate policy choices and values."
http://www.nrtee-trnee.ca/eng/about-us/proactive-disclosure/contracts/2009-2010-Contracts/2009-2010-4/2009-2010-ContractDetails-4-eng.cfm?ID=300,"National Round Table on the Environment and the Economy","Insight Software Canada Ltd.",CNRT-2009130,2010-02-10,"1228 - Computer Software",,2010-02-11,12342.75,"Standing Offer Call-up: Renewal and license management."
